var,mean,std.dev
CEC.A,20.4907812641,5.8994674641
CEC.B,24.6590668057,6.6615536864
CEC.C,20.3574318583,7.275674717
OC.A,1.6034519895,0.6250767866
OC.B,0.5765623971,0.2360321912
OC.C,0.1740558476,0.1087541554
Clay.A,25.9288624482,8.8268393769
Clay.B,33.5114760551,10.4322682954
Clay.C,25.6645646347,10.7036448891
dem,593.215649248,224.833528569
vdchn,1.1945847371,0.1685050941
X,359856.668402271,147160.066899154
lstm,296.5182173975,1.9745771608
evisd,15222337.3889374,4229154.23078463
ndwi.b,-0.1254992844,0.0407823002
twi,0.9126226093,0.0941875468
ndwi.a,1.9938236699,0.0044354518
Y,180621.95152764,108612.913311683
